n/n;Номер заказа;Автомобиль (марка, модель);Заказ-наряд;Возраст, лет;Допустимая надбавка, %;Цена по акту, руб;Цена  по нормативам, руб;Отклонение, руб
1;2455;Лада Приора гос. номер: Т4106 23 VIN: ХТА217030В0327141 год вып. 2011;1818188100962002312194450/ АСЮ0002455-37 от 19.11.2018;7;10;19708,47;19122,4075;586,0625
2;2456;Лада Приора гос. номер: Т4106 23 VIN: ХТА217 год вып. 2011;1818188100962002312194450/ АСЮ0002456-34 от 19.11.2018;7;10;11153,97;11579,3125;-425,342499999999
3;2457;ВАЗ-21150 гос. номер: О171ЕА 123 VIN: XTA211540B5037281 год вып. 2009;1818188100962002312194450/ АСЮ0002457-39 от 20.11.2018;9;10;25663,58;24954,6;708,98
4;2458;ВАЗ 213100 гос. номер: А05В5 23 VIN: XTA213100G0179098 год вып. 2015;1818188100962002312194450/ АСЮ0002458-41 от 22.11.2018;3;0;22118,87;19245,29;2873,58
5;2461;Шевролет Нива гос. номер: К266КК 123 VIN: X9L212300CD год вып. 2012;1818188100962002312194450/ АСЮ0002461-35 от 21.11.2018;6;10;21694,29;24595,405;-2901,11499999999
6;2494;Лада Гранта гос. номер: С978ТЕ 123 VIN: ХТА219010Н0474947 год вып. 2017;1818188100962002312194450/ АСЮ0002494-3 от 01.11.2018;1;0;3166,6;3365,09;-198,49
7;2496;Лада Приора гос. номер: К800РР 123 VIN: ХТА21705000528754 год вып. 2015;1818188100962002312194450/ АСЮ0002496-4 от 02.11.2018;3;0;4868,05;6040,1475;-1172,0975
8;2497;Лада Приора гос. номер: Е110УО 93 VIN: ХТА217230А0113273 год вып. 2010;1818188100962002312194450/ АСЮ0002497-1 от 21.11.2018;8;10;3119,33;3573,045;-453,715
9;2498;Лада Приора гос. номер:  К939ОХ123 VIN: XTA217050F0511839 год вып. 2015;1818188100962002312194450/ АСЮ0002498-6 от 02.11.2018;3;0;15265,82;15587,1725;-321,352499999999
10;2499;Лада Приора гос. номер: К0940 23 VIN: XTА217030В0326604 год вып. 2011;1818188100962002312194450/ АСЮ0002499-7 от 05.11.2018;7;10;28026,74;28111,735;-84,9949999999953
11;2500;Шевролет Нива гос. номер: Е658ЕХ 93 VIN: X9L21230050104236 год вып. 2005;1818188100962002312194450/ АСЮ0002500-8 от 05.11.2018;13;20;26608,86;26911,2675;-302,407499999994
12;2502;Лада Приора гос. номер: К0969 23 VIN: ХТА217030В0326953 год вып. 2011;1818188100962002312194450/ АСЮ0002502-9 от 05.11.2018;7;10;16872,75;18290,5875;-1417,8375
13;2503;Лада Приора гос. номер: К0346 23 VIN: XTA217030B03 27073 год вып. 2011;1818188100962002312194450/ АСЮ0002503-10 от 06,11.2018;7;10;8460,02;9792,79;-1332,77
14;2504;Лада Приора гос. номер: М876ОВ 123 VIN:  ХТА217030Е0469542 год вып. 2014;1818188100962002312194450/ АСЮ0002504-11 от 06.11.2018;4;0;11390,29;11843,9825;-453,692499999997
15;2505;Шевролет Нива гос. номер: Н438ОХ 123 VIN: X9L212300F0554302 год вып. 2015;1818188100962002312194450/ АСЮ0002505-2 от 01.11.2018;3;0;10161,47;10199,2475;-37,7775000000001
16;2513;Лада Гранта гос. номер: У087УК 123 VIN: ХТА219010J0547457 год вып. 2018;1818188100962002312194450/ АСЮ0002513-13 от 07.11.2018;0;0;1843,24;1947,215;-103,975
17;2514;Лада Гранта гос. номер: М284СК 123 VIN: XTA219170GY227711 год вып. 2016;1818188100962002312194450/ АСЮ0002514-5 от 02.11.2018;2;0;4820,78;4924,7525;-103,972500000001
18;2523;Лада Приора гос. номер: Х311ОС 123 VIN: XTA217D50F0495161 год вып. 2014;1818188100962002312194450/ АСЮ0002523 от 07.11.2018;4;0;16967,26;16551,3275;415,932500000003
19;2524;Лада Приора гос. номер: К0804 23 VIN: ХТА217030А0263211 год вып. 2010;1818188100962002312194450/ АСЮ0002524-19 от 09.11.2018 ;8;10;26041,72;26126,71;-84,9899999999907
20;2532;Лада Приора гос. номер: H1904ТО 123 VIN: ХТА217230А0107527 год вып. 2010;1818188100962002312194450/ АСЮ0002532-18 от 08.11.2018;8;10;16447,39;14254,37;2193,02
21;2533;Лада Приора гос. номер: Т4038 23 VIN: ХТА217030В0327085 год вып. 2011;1818188100962002312194450/ АСЮ0002533-21 от 09.11.2018;7;10;27837,68;28631,6225;-793,942499999997
22;2534;Лада Приора гос. номер: К0065 23 VIN: XTA217030B0327119 год вып. 2015;1818188100962002312194450/ АСЮ0002534-12 от 06.11.2018;3;0;17912,53;15152,3575;2760,1725
23;2558;Лада Приора гос. номер: H347AX 123 VIN: ХТА207030В0327995 год вып. 2011;1818188100962002312194450/ АСЮ0002558-15 от 07.11.2018;7;10;6238,65;6172,4825;66,1674999999996
24;2560;Лада Приора гос. номер: А395ВМ123 VIN: ХТА217130В0062028 год вып. 2011;1818188100962002312194450/ АСЮ0002560-28 от 13.11.2018;7;10;13044,47;12836,495;207,974999999997
25;2561;Лада Приора гос. номер: Н350ХМ 93 VIN: ХТА21703090200017 год вып. 2009;1818188100962002312194450/ АСЮ0002561-17 от 08.11.2018;9;20;5198,89;6474,9625;-1276,0725
26;2562;ВАЗ 213100 гос. номер: Т078МВ 93 VIN: ХТА21310070086610 год вып. 2007;1818188100962002312194450/ АСЮ0002562-20 от 09.11.2018;11;20;6427,71;7940,1;-1512,39
27;2563;Лада Приора гос. номер: М3026 23 VIN: XTA21703DB0327241 год вып. 2011;1818188100962002312194450/ АСЮ0002563-22 от 12.11.2018;7;10;9594,3;9518,6675;75,6324999999997
28;2564;Лада Приора гос. номер: М3279 23 VIN: ХТА217030В0327391 год вып. 2011;1818188100962002312194450/ АСЮ0002564-23 от 12.11.2018;7;10;20559,22;18923,905;1635,31500000001
29;2569;Лада Приора гос. номер: С374ЕЕ 123 VIN: ХТА217130В0062022 год вып. 2011;1818188100962002312194450/ АСЮ0002569-31 от 14.11.2018;7;10;24671,09;25578,465;-907,374999999996
30;2570;Лада Приора гос. номер: К422КК 123 VIN: XTA217050F0508648 год вып. 2015;1818188100962002312194450/ АСЮ0002570-25 от 12.11.2018;3;0;11484,83;12486,7525;-1001,9225
31;2571;Лада Приора гос. номер: Т4036 23 VIN: ХТА217030В0327120 год вып. 2011;1818188100962002312194450/ АСЮ0002571-26 от 13.11.2018;7;10;22449,73;21523,3425;926,387500000008
32;2572;Лада Приора гос. номер: М0574 23 VIN: ХТА217030В0327729 год вып. 2011;1818188100962002312194450/ АСЮ0002572-27 от 13.11.2018;7;10;29255,54;27043,6025;2211,93750000001
33;2573;Лада Приора гос. номер: Х370ОС 123 VIN: ХТА217030Е0469310 год вып. 2014;1818188100962002312194450/ АСЮ0002573-32 от 14.11.2018;4;0;9736,09;9140,5675;595,522500000001
34;2601;Лада Приора гос. номер: М0606 23 VIN: XTA217050F0509727 год вып. 2015;1818188100962002312194450/ АСЮ0002601-29 от 14.11.2018;3;0;26703,33;28073,925;-1370,595
35;2602;Лада Приора гос. номер: М0575 23 VIN: ХТА217030В0327722 год вып. 2011;1818188100962002312194450/ АСЮ0002602-30 от 16.11.2018;7;10;36250,44;34123,525;2126,915
36;2604;Лада Гранта гос. номер: Т743СВ 123 VIN: ХТА219010D0152058 год вып. 2013;1818188100962002312194450/ АСЮ0002604-36 от 15.11.2018;5;0;21220,92;20937,2875;283,632500000011
37;2648;Лада Приора гос. номер: Е110УО 93 VIN: ХТА217230А0113273 год вып. 2010;1818188100962002312194450/ АСЮ0002648-42 от 23.11.2018;8;10;25474,53;27327,1775;-1852,6475
38;2649;Лада Приора гос. номер: Е110У0 93 VIN: ХТА217230А0113273 год вып. 2010;1818188100962002312194450/ АСЮ0002649-43 от 23.11.2018;8;10;10586,81;10634,0625;-47,2525000000023
39;2650;ВАЗ-21150 гос. номер: О171ЕА 123 VIN: ХТА211540В5037281 год вып. 2009;1818188100962002312194450/ АСЮ0002650-38 от 20.11.2018;9;10;9736,09;9235,0925;500,997499999999
40;2651;Лада Приора гос. номер: М3604 23 VIN: ХТА217030В0327369 год вып. 2011;18181881009620023121Э4450/ АСЮ0002651-44 от 28.11.2018;7;10;27365,03;29104,2475;-1739,2175
41;2652;Лада Приора гос. номер: М3604 23 VIN: ХТА217030В0327369 год вып. 2011;1818188100962002312194450/ АСЮ0002652-45 от 26.11.2018;7;10;27979,46;27034,15;945,310000000009
42;2653;Лада Приора гос. номер: У7150 23 VIN: ХТА21723080032119 год вып. 2008;1818188100962002312194450/ АСЮ0002653-46 от 27.11.2018;10;20;25190,99;27053,055;-1862,06499999999
43;2654;Лада Приора гос. номер: У7150 23 VIN: ХТА21723080032119 год вып. 2008;1818188100962002312194450/ АСЮ0002654-47 от 27.11.2018;10;20;16163,79;17969,2025;-1805,4125
44;2683;Лада Приора гос. номер: К853ВЕ 123 VIN: ХТА217030D0423637 год вып. 2013;1818188100962002312194450/ АСЮ0002683-40 от 22.11.2018;5;10;2315,87;2278,0525;37,8175000000001
45;2686;Лада Приора гос. номер: О869КЕ 123 VIN: ХТА21730Е0468978 год вып. 2014;1818188100962002312194450/ АСЮ0002686-48 от 03.12.2018;4;0;11673,88;10634,0625;1039,8175
46;2687;Лада Приора гос. номер: К0841 23 VIN: ХТА217030А0263506 год вып. 2010;1818188100962002312194450/ АСЮ0002687-50 от 03.12.2018;8;10;15171,31;16456,8025;-1285,4925
47;2688;Лада Приора гос. номер: ВОЗОРС 123 VIN: XTA21705QF0511568 год вып. 2015;1818188100962002312194450/ АСЮ0002688-53 от 04.12.2018;3;0;18574,23;18583,615;-9,3849999999984
48;2693;Лада Приора гос. номер: М0573 23 VIN: XTA217050F0509543 год вып. 2015;1818188100962002312194450/ АСЮ0002693-56 от 05.12.2018;3;0;19944,8;18318,945;1625,855
49;2703;Лада Гранта гос. номер: С025ТВ 123 VIN: ХТА219010Н0475090 год вып. 2017;1818188100962002312194450/ АСЮ0002703-49 от 04.12.2018;1;0;3166,6;3223,3025;-56,7025000000003
50;2721;Лада Приора гос. номер: В892ВС 123 VIN: ХТА217030В0327885 год вып. 2011;1818188100962002312194450/ АСЮ0002721-52 от 06.12.2018;7;10;2315,87;2278,0525;37,8175000000001
51;2722;Лада Приора гос. номер: Е335АВ 123 VIN: ХТА217030В0289539 год вып. 2011;1818188100962002312194450/ АСЮ0002722-57 от 06.12.2018;7;10;11153,98;11947,96;-793,980000000001
52;2723;Лада Приора гос. номер: Х370ОС 123 VIN: ХТА217030Е0469310 год вып. 2014;1818188100962002312194450/ АСЮ0002723-33 от 14.11.2018;4;0;26325,26;23253,15;3072,11
53;2724;Лада Приора гос. номер: К0841 23 VIN: ХТА217030А0263506 год вып. 2010;1818188100962002312194450/ АСЮ0002724-51 от 03.12.2018;8;10;9452,51;9329,6175;122,8925
54;2726;Лада Приора гос. номер: МО573 23 VIN: XTA217050F0509543 год вып. 2015;1818188100962002312194450/ АСЮ0002726-55 от 05.12.2018;13;20;22686,02;25758,0625;-3072,0425
55;2727;Лада Приора гос. номер: В030РС 123 VIN: XTA217050F0511568 год вып. 2015;1818188100962002312194450/ АСЮ0002727-54 от 04.12.2018;3;0;13328,05;12751,4225;576,627499999999
;;;;;;;;
;Итого;Итого, руб;;;;881590;884744,5475;-3154,54749999993
